id,name,name_zh,url,type,news_list_dynamic,news_list,news_a_href,news_list_next_page_a_href,new_list_title,news_list_date,news_title,news_date_multi,news_date,news_view,news_author,news_source,news_content,url_prefix,disabled
34,nwpu,西北工业大学,https://news.nwpu.edu.cn/gdyw.htm,工大要闻,0,div.list-l ul li,div.fr a::attr("href"),a.Next::attr("href"),,,form h5::text,0,div.time span:first-child::text,,div.time span:nth-child(2)::text,div.time span:nth-child(3)::text,div.v_news_content ::text,https://news.nwpu.edu.cn/,1
35,lzu,兰州大学,http://www.lzu.edu.cn/static/home/news/,兰大新闻,0,div#news-list article,a::attr("href"),a.next::attr("href"),,,div.container h1::text,0,ins#pubdate::text,,div#writer span::text,span#source ins::text,div#cont ::text,,1
36,nudt,国防科技大学,http://www.nudt.edu.cn/articlelist.asp?classid=58,新闻,0,tr.listbg,a::attr("href"),td.tableBorderGreen_subList table:last-child a::attr("href"),,td.timeclass::text,td.text_title::text,0,,td.text_author::text,td.text_author::text,td.text_author::text,td.tableBorderGreen_subList table table tr td ::text,http://www.nudt.edu.cn/,1
37,neu,东北大学,http://neunews.neu.edu.cn/campus/part/DDYW.html,东大要闻,0,div.ny_middle ul li,a::attr("href"),div.epages a:nth-last-child(3)::attr("href"),,span::text,div.ny_wzbt1::text,0,,div.ny_wzbt2 ::text,div.ny_wzbt2 ::text,div.ny_wzbt2 ::text,div#content ::text,http://neunews.neu.edu.cn,1
38,zzu,郑州大学,http://www16.zzu.edu.cn/msgs/vmsgisapi.dll/vmsglist?mtype=x&lan=202,综合新闻,0,div.zzj_5a,a::attr("href"),div.zzj_4 a:nth-child(3)::attr("href"),,,div.zzj_3::text,0,div.zzj_4 span:nth-child(3)::text,div.zzj_4 span:nth-child(4)::text,div.zzj_4 span:nth-child(1)::text,div.zzj_4 span:nth-child(2)::text,div.zzj_5 ::text,,1
39,hnu,湖南大学,http://news.hnu.edu.cn/toutiaoxinwen/,头条新闻,0,div.main_conterlist ul li,a::attr("href"),div.page a:nth-last-child(2)::attr("href"),,span.page::text,div.conterlist h2::text,0,,div.conterlisttir_left_div span::text,div.conterlisttir_left_div span::text,div.conterlisttir_left_div span::text,div.conterlist_conter ::text,,1
40,ynu,云南大学,http://www.news.ynu.edu.cn/zhxw.htm,综合新闻,0,div.clearfix ul.clearfix li,a::attr("href"),a.Next::attr("href"),,span.fr::text,div.con_nav h2::text,0,,,,,div#vsb_content ::text,http://www.news.ynu.edu.cn/,1
41,nwsuaf,西北农林科技大学,http://news.nwsuaf.edu.cn/xnxw/index.htm,新闻焦点,0,div.lb01 ul li,a::attr("href"),div.list_sort form a:nth-last-child(3)::attr("href"),,span::text,div.right_list h3::text,0,,div#author ::text,div#author ::text,div#author ::text,div#work ::text,http://news.nwsuaf.edu.cn/xnxw/,1
42,xju,新疆大学,http://www.xju.edu.cn/xwzx/xdtt.htm,新大头条,0,div.list-con-1 ul li,a::attr("href"),a.Next::attr("href"),,i::text,div.content-title h3::text,0,,,div.content-title i::text,div.content-title i::text,div.content-con ::text,http://www.xju.edu.cn/,1
43,bjtu,北京交通大学,http://news.bjtu.edu.cn/jdyw.htm,交大要闻,0,ul.rg_list li,a::attr("href"),a.Next::attr("href"),,i::text,div.list_bt::text,0,,,div.right_top1 form p::text,div.right_top1 form p::text,div.wzzw ::text,http://news.bjtu.edu.cn/,1
44,bjut,北京工业大学,http://news.bjut.edu.cn/gdyw/,工大要闻,0,div.list ul li,a::attr("href"),div.page ul li:nth-last-child(2) a::attr("href"),,h3 span::text,div.text h1::text,0,,,div.text h6::text,div.text h6::text,div.text ::text,http://news.bjut.edu.cn/,1
45,ustb,北京科技大学,http://news.ustb.edu.cn/xinwendaodu/,新闻导读,0,div.erji_xwdd_nr,a::attr("href"),div.btn a:first-child::attr("href"),,span::text,p.bkrw_bt::text,0,,p.bkrw_bt_riqi ::text,p.bkrw_bt_riqi ::text,p.bkrw_bt_riqi ::text,div.bkrw_xxnr ::text,http://news.ustb.edu.cn,1
46,buct,北京化工大学,http://news.buct.edu.cn/zhxw/index.htm,北化要闻,0,div.articleList5 ul li,a::attr("href"),a.next::attr("href"),,span.rightDate::text,div.articleTitle h3::text,0,,span#visit_count::text,,,div.article ::text,http://news.buct.edu.cn/,1
47,bupt,北京邮电大学,https://www.bupt.edu.cn/list/list.php?p=81_15_1,北邮要闻,0,ul.ovhi li,a::attr("href"),div.page a:nth-last-child(2),,font.cor3::text,h1#article_h1::text,0,div.time::text,div.time::text,div.time::text,div.time::text,div.content ::text,https://www.bupt.edu.cn,1
48,bjfu,北京林业大学,http://news.bjfu.edu.cn/bljd/index.html,北林焦点,0,ul.news_ul li,a::attr("href"),div#page span div form a:nth-child(4)::attr("href"),,span::text,div.article h2::text,0,,,,,div.article_con ::text,0,1
49,cams,北京协和医学院,http://www.cams.ac.cn/blog/category/uncategorized/,院校新闻,0,div.middle ul,a::attr("href"),div.pagination a:nth-last-child(2)::attr("href"),a::text,span.data::text,,0,div.time::text,div.time::text,,,div.article2 ::text,,1
50,bucm,北京中医药大学,http://xww.bucm.edu.cn/ttxw/index.htm,头条新闻,0,ul.box01_list li,a::attr("href"),div.pages a:nth-child(3)::attr("href"),,span::text,div.art_new h2::text,0,,div.author ::text,div.author ::text,div.author ::text,div.article ::text,a::attr("href"),1
51,cnu,首都师范大学,http://www.cnu.edu.cn/jdxw/xwzh/index.htm,新闻纵横,0,div.pg_list ul li,a::attr("href"),div.fanye dl dd:nth-last-child(2) a::attr("href"),a::text,span::text,,0,,div.artic_t_1 h4 ::text,div.artic_t_1 h4 ::text,div.artic_t_1 h4 ::text,div.wenzhang1 ::text,http://www.cnu.edu.cn/jdxw/xwzh/,1
52,bfsu,北京外国语大学,http://news.bfsu.edu.cn/archives/category/bwyw,北外要闻,0,ul.list li,a::attr("href"),div.page ul li:last-child a::attr("href"),,span.time::text,h3.artitle::text,0,,,span.from::text,span.from::text,em.aaaaa ::text,,1
53,cuc,中国传媒大学,http://www.cuc.edu.cn/zcyw,中传要闻,0,div.bd ul,li.g-lastu h3.tit a::attr("href"),div.pagelist a:nth-last-child(2)::attr("href"),,,div.bd h1::text,1,div.bd h6 ::text,div.bd h6 ::text,div.bd h6 ::text,div.bd h6 ::text,article.con-area ::text,,1
54,cufe,中央财经大学,http://news.cufe.edu.cn/jdxw/index.htm,综合要闻,0,div.lb1 ul li,a::attr("href"),div.page form a:nth-child(4)::attr("href"),,span::text,div.titop h3::text,0,,div.nrmid03 ::text,div.nrmid03 ::text,div.nrmid03 ::text,div.neir ::text,http://news.cufe.edu.cn/jdxw/,1
55,uibe,对外经济贸易大学,http://news.uibe.edu.cn/xwkx1.htm,新闻快讯,0,div.zhxw_l_list ul li,a::attr("href"),a.Next::attr("href"),,span.zhxw_list_date::text,p.zhxw_detalis_title::text,0,,,,font.zhxw_zhus3::text,div#vsb_content ::text,http://news.uibe.edu.cn/,1
56,cfau,外交学院,http://www.cfau.edu.cn/col/col2983/index.html?uid=9495&pageNum=1,,1,,,,,,.wzzw h2::text,,,,,,#zoom  ::text,http://www.cfau.edu.cn,1
57,ppsuc,中国人民公安大学,http://www.ppsuc.edu.cn/gdyw.htm,公大要闻,0,div.con-right-box-list ul li,a::attr("href"),a.Next::attr("href"),,em::text,div.neirong-bt::text,0,,,,,div.neirong-con ::text,http://www.ppsuc.edu.cn/,1
58,bsu,北京体育大学,http://www.bsu.edu.cn/xyxw/index.htm,校园新闻,0,ul.newsList01 li,div.item-txt20 h3 a::attr("href"),a.next::attr("href"),,span.item-date20::text,div.articleTitle h3::text,1,div.articleAuthor ::text,div.articleAuthor ::text,div.articleAuthor ::text,div.articleAuthor ::text,div.article ::text,http://www.bsu.edu.cn/xyxw/,1
59,ccom,中央音乐学院,,,,,,,,,,,,,,,,,1
60,,中国音乐学院,,,,,,,,,,,,,,,,,1
61,cafa,中央美术学院,http://www.cafa.edu.cn/2018cafa/nl/?c=901,美院快讯,0,div.bricks-wrapper article,a::attr("href"),div.page ul a:nth-last-child(3)::attr("href"),,p.data::text,div.title::text,0,,,div.details ::text,div.details ::text,div.content-box ::text,,1
62,zhongxi,中央戏剧学院,http://web.zhongxi.cn/zxxwdt/xyxw/,校园新闻,0,ul.arclist li,a::attr("href"),ul.page li:nth-last-child(4) a::attr("href"),,,div#content h2::text,0,div#content div:last-child ul li::text,,,,div.onecolumn ::text,,1
63,cupl,中国政法大学,http://news.cupl.edu.cn/zhxw.htm,综合新闻,0,div.ej-bzt-list ul li,a::attr("href"),a.Next::attr("href"),,,div.title h3::text,1,div.title i ::text,div.title i ::text,div.title i ::text,div.title i ::text,div.v_news_content ::text,http://news.cupl.edu.cn/,1
64,tjpu,天津工业大学,http://news.tjpu.edu.cn/mtgd/list.htm,媒体天大,0,div#wp_article_list ul li,a::attr("href"),a.next::attr("href"),,span.Article_PublishDate::text,h4.arti_title::text,0,,span.WP_VisitCount::text,span.arti_publisher::text,span.arti_publisher::text,div.Article_Content ::text,http://news.tjpu.edu.cn,1
65,tmu,天津医科大学,http://www.tmu.edu.cn/s/72/t/386/p/14/list.htm,天医新闻,0,div#newslist table tr,a::attr("href"),div#newslist table:last-child tr td font span table tr td a:nth-child(3)::attr("href"),,,td.biaoti3::text,1,span.STYLE2 ::text,,,,td.content ::text,,1
66,tjutcm,天津中医药大学,http://news13.tjutcm.edu.cn/erji.jsp?urltype=tree.TreeTempUrl&wbtreeid=1520,媒体看天中,0,table.winstyle42389 tbody tr,a::attr("href"),a.Next::attr("href"),,td.timestyle42389::text,td.titlestyle42391::text,0,,span#n12262::text,span.authorstyle42391::text,span.authorstyle42391::text,div.v_news_content ::text,http://news13.tjutcm.edu.cn/,1
67,ncepu,华北电力大学,http://news.ncepu.edu.cn/hdbd/index.htm,华电报道,0,div.wenzhang ul li,a::attr("href"),div.fenye div form a:nth-child(4)::attr("href"),,,div.biaoti1 h1::text,0,div.fbt1 ::text,span#visit_count::text,div.fbt1 ::text,div.fbt1 ::text,div.connei1 ::text,http://news.ncepu.edu.cn/hdbd/,1
68,hebut,河北工业大学,http://xww.hebut.edu.cn/gdyw/index.htm,工大要闻,0,ul.gdImpNewsList li,a::attr("href"),a.next::attr("href"),,,div.sub_articleTitle h2::text,0,div.sub_articleAuthor span strong::text,,,,div.sub_articleInfo ::text,http://xww.hebut.edu.cn/gdyw/,1
69,tyut,太原理工大学,http://www2017.tyut.edu.cn/xyxw/lgyw.htm,理工要闻,0,div.right_pic ul li,div.tit a::attr("href"),a.Next::attr("href"),,,div.contenttop h2::text,0,div.xxxx span::text,,div.xxxx span:nth-child(3)::text,div.xxxx span:nth-child(2)::text,div.v_news_content ::text,http://www2017.tyut.edu.cn/,1
70,imu,内蒙古大学,http://news.imu.edu.cn/xwyl/ndyw.htm,内大要闻,0,div.xwlist_l ul li,a::attr("href"),a.Next::attr("href"),,span::text,form h3::text,0,,form h3 span::text,form h3 span::text,form h3 span::text,div#vsb_content ::text,http://news.imu.edu.cn/,1
71,lnu,辽宁大学,http://www.lnu.edu.cn/ldxw/ldkx.htm,辽大快讯,0,table.winstyle15693 tr,a::attr("href"),a.Next::attr("href"),,span.timestyle15693::text,td.titlestyle15690::text,0,,span.clickstyle15690 span::text,,,div#vsb_content ::text,http://www.lnu.edu.cn/,1
