id,name,name_zh,url,type,news_list_dynamic,news_list,news_a_href,news_list_next_page_a_href,new_list_title,news_list_date,news_title,news_date_multi,news_date,news_view,news_author,news_source,news_content,url_prefix,disabled
107,whut,武汉理工大学,http://news.whut.edu.cn/zonghe,综合新闻,0,div.new,a::attr("href"),ul.pagination li:last-child a::attr("href"),,,article h3::text,1,div.info ::text,div.info ::text,div.info ::text,div.info ::text,div.article-context ::text,http://news.whut.edu.cn,1
108,hzau,华中农业大学,http://news.hzau.edu.cn/news/mthn/,媒体华农,0,li.item,a::attr("href"),a.next::attr("href"),,span.date::text,h1.article-title::text,0,,,,,div.article-content ::text,,1
109,ccnu,华中师范大学,http://www.ccnu.edu.cn/xwdt/hdxw.htm,华大新闻,0,ul.infolist li,a::attr("href"),a.Next::attr("href"),,span::text,div.card-title::text,0,,,,,div#vsb_content ::text,,1
110,zuel,中南财经政法大学,http://wellan.zuel.edu.cn/1668/list.htm,文澜要闻,0,ul.wp_article_list li,a::attr("href"),a.next::attr("href"),,span.Article_PublishDate::text,h1.arti_title::text,0,,,,span.arti_publisher::text,div.wp_articlecontent::text,http://wellan.zuel.edu.cn,1
111,hunnu,湖南师范大学,http://www.hunnu.edu.cn/sdyw.htm,师大要闻,0,ul.newsList li,a::attr("href"),a.Next::attr("href"),,,div.caption h3::text,0,div.article_prop p span::text,,,,div.content ::text,http://www.hunnu.edu.cn/,1
112,jnu,暨南大学,https://news.jnu.edu.cn/jnyw/jdtt/,暨大要闻,0,ul.newsConList li,a::attr("href"),a.next::attr("href"),,,h2.title::text,0,div.property span:nth-child(2)::text,,div.property span:nth-child(5)::text,div.property span:nth-child(4)::text,div.conTxt ::text,https://news.jnu.edu.cn,1
113,gzucm,广州中医药大学,http://www.gzucm.edu.cn/index/xydt.htm,校园动态,0,div.content_list ul li,a::attr("href"),a.Next::attr("href"),,span.date::text,h1.h1Title::text,0,div.dataClass ::text,,,,div#vsb_content_1001 ::text,http://www.gzucm.edu.cn/index/,1
114,,华南师范大学,,,,,,,,,,,,,,,,,1
115,hainu,海南大学,http://www.hainu.edu.cn/stm/vnew/shtml_liebiao.asp@bbsid=95.shtml#,海大新闻,0,div.news_list li,a::attr("href"),table#table3 tr td:nth-child(3) a::attr("href"),,span::text,div.biaoti::text,0,,,div.laiyuaan::text,div.laiyuaan::text,div.neirong ::text,http://www.hainu.edu.cn,1
116,gxu,广西大学,http://news.gxu.edu.cn/Category_1/Index.aspx,西大新闻,0,ul.infoList li,a::attr("href"),div.page a:nth-last-child(3)::attr("href"),,span.date::text,div.artbox h1::text,0,,,,,div.textcontent ::text,http://news.gxu.edu.cn,1
117,swjtu,西南交通大学,https://news.swjtu.edu.cn/ShowList-82-0-1.shtml,交大要闻,0,div.newslist ul li,a::attr("href"),div.pages a:n-last-child(2)::attr("href"),,span.pubtime::text,div.artical h4::text,0,,,,,div.content14 ::text,https://news.swjtu.edu.cn/,1
118,swpu,西南石油大学,http://www.swpu.edu.cn/news/xxyw.htm,学校要闻,0,table#gvNewsList tbody tr,a::attr("href"),a.Next::attr("href"),,td:n-child(3)::text,form h1::text,0,,,,,div.v_news_content ::text,http://www.swpu.edu.cn/news/,1
119,,成都理工大学,,,,,,,,,,,,,,,,,1
120,sicau,四川农业大学,http://news.sicau.edu.cn/syxw.htm,首页新闻,0,ul.text_list text_list_f14 li,a::attr("href"),span.p_next a::attr("href"),,span.date::text,div#content_head h1::text,0,,,,,div.v_news_content ::text,http://news.sicau.edu.cn/,1
121,cdutcm,成都中医药大学,http://www.cdutcm.edu.cn/get/class/cdutcmnew/xxyw/index.html,学校要闻,0,div.list li,a::attr("href"),div.foosun_pagebox a:n-last-child(2)::attr("href"),,span.time::text,div.new_detail h1::text,0,,,,,div.new_con ::text,http://www.cdutcm.edu.cn,1
122,swu,西南大学,http://222.198.125.159/seeyon/xndxNewsData.do?method=getNewsMoreList&startIndex=12&pageSize=20000,新闻,0,list.even,,,span.rt::text,,,,,,,,,,1
123,swufe,西南财经大学,,,,,,,,,,,,,,,,,1
124,gzu,贵州大学,http://news.gzu.edu.cn/news/list.htm,贵大要闻,0,ul.wp_article_list li,a::attr("href"),a.next::attr("href"),,,span.Article_Title::text,0,span.Article_PublishDate::text,,,,div.Article_Content ::text,http://news.gzu.edu.cn,1
125,utibet,西藏大学,http://www.utibet.edu.cn/news/article_3_5_0.html,校园新闻,0,div.text table tbody tr,a::attr("href"),div#page a:nth-child(3)::attr("href"),,td:nth-child(3)::text,div.text table tr td div:nth-child(2)::text,0,,,,,div.text div ::text,,1
126,nwu,西北大学,http://news.nwu.edu.cn/home/index/articles/mid/5651.html,要闻聚焦,0,ul.list-unstyled li,a::attr("href"),ul.pagination li:last-child a::attr("href"),,span.fr::text,div.danpian-h1::text,0,,,,,div.danpian-con ::text,http://news.nwu.edu.cn,1
127,xidian,西安电子科技大学,http://news.xidian.edu.cn/yw.htm,西电要闻,0,ul.m-news-list div,a::attr("href"),a.Next::attr("href"),,div.pc-news-sj::text,div.neirong-bt::text,0,,,,,div.v_news_content ::text,http://news.xidian.edu.cn/,1
128,chd,长安大学,http://www.chd.edu.cn/391/list.htm,学校要闻,0,,,,,,,,,,,,,,1
129,snnu,陕西师范大学,http://www.snnu.edu.cn/sdxw.htm,师大新闻,0,div.item,a::attr("href"),a.Next::attr("href"),,p.qh-wide-pushtime::text,h2.div.news_neirong h2_1::text,0,,,,,div#vsb_content_4 ::text,http://www.snnu.edu.cn/,1
130,qhu,青海大学,http://news1.qhu.edu.cn/qdyw/index.htm,青大要闻,0,div.articleList5 ul li,a::attr("href"),div.page div a:last-child::attr("href"),,span.rightDate::text,div.articleTitle h2::text,0,,,,,div.article ::text,http://news1.qhu.edu.cn/qdyw/,1
131,nxu,宁夏大学,https://www.nxu.edu.cn/xxyw.htm,学校要闻,0,ul.list_u li,a::attr("href"),a.Next::attr("href"),,span::text,h3.list_c_h4::text,0,,,,,div.pic_c_c ::text,https://www.nxu.edu.cn/,1
132,shzu,石河子大学,http://www.shzu.edu.cn/2/listm.htm,新闻速递,0,ul.wp_article_list li,span.Article_Title a::attr("href"),a.next::attr("href"),,,h1.arti-title::text,0,span.arti-update::text,,,,div.wp_articlecontent::text,http://www.shzu.edu.cn,1
133,upc,中国石油大学,http://news.upc.edu.cn/sdyw.htm,石大要闻,0,div.main-list-box-left ul li,a::attr("href"),span.p_next a::attr("href"),,,div.nr-bt::text,0,div.nr-xinxi i::text,,,,div#vsb_content_2 ::text,http://news.upc.edu.cn/,1
134,nbu,宁波大学,http://news.nbu.edu.cn/ndyw.htm,宁大要闻,0,div.lb div ul li,a::attr("href"),a.Next::attr("href"),,span.time::text,div.btsq::text,0,,,,,div#vsb_content_500 ::text,http://news.nbu.edu.cn/,1
135,ucas,中国科学院大学,http://news.ucas.ac.cn/ywsd,要闻速递,0,ul.b-list li,a::attr("href"),div.pagination ul li:nth-last-child(2) a::attr("href"),,span.m-date::text,div.b-ahead h3 span::text,0,,,,,div.b-abody ::text,http://news.ucas.ac.cn,1
136,smmu,第二军医大学,http://www.smmu.edu.cn/183/list.htm,校园要闻,0,ul.wp_article_list li,a::attr("href"),a.next::attr("href"),,span.Article_PublishDate::text,h1.arti_title::text,0,,,,,div.wp_articlecontent ::text,http://www.smmu.edu.cn,1
137,fmmu,第四军医大学,https://news.fmmu.edu.cn/xxxw.htm,学校新闻,0,div.wzlb ul li,a::attr("href"),span.p_next a::attr("href"),,span::text,form h3::text,0,,,,,div.v_news_content ::text,https://news.fmmu.edu.cn/,1
